Date Separator: / (379)
    グリーンランド語 (グリーンランド), 0x046F, kl-GL
    コンカニ語 (インド), 0x0457, kok-IN
    カシミール語 (デーバナーガリー文字、インド), 0x0860, ks-Deva-IN
    コーンウォール語 (イギリス), 0x1000, kw-GB
    ラテン語 (バチカン市国), 0x1000, la-VA
    北ロル語 (イラク), 0x1000, lrc-IQ
    北ロル語 (イラン), 0x1000, lrc-IR
    リトアニア語 (リトアニア), 0x0427, lt-LT
    マダガスカル語 (マダガスカル), 0x1000, mg-MG
    メタ語 (カメルーン), 0x1000, mgo-CM
    マオリ語 (ニュージーランド), 0x0481, mi-NZ
    モンゴル語 (モンゴル文字、中国), 0x0850, mn-Mong-CN
    モーホーク語 (カナダ), 0x047C, moh-CA
    ミャンマー語 (ミャンマー [ビルマ]), 0x0455, my-MM
    マーザンダラーン語 (イラン), 0x1000, mzn-IR
    低地ドイツ語 (ドイツ), 0x1000, nds-DE
    低地ドイツ語 (オランダ), 0x1000, nds-NL
    オランダ語 (アルバ), 0x1000, nl-AW
    オランダ語 (オランダ領カリブ), 0x1000, nl-BQ
    オランダ語 (キュラソー), 0x1000, nl-CW
    オランダ語 (オランダ), 0x0413, nl-NL
    オランダ語 (スリナム), 0x1000, nl-SR
    オランダ語 (シント・マールテン), 0x1000, nl-SX
    ンコ語 (ギニア), 0x1000, nqo-GN
    南ンデベレ語 (南アフリカ), 0x1000, nr-ZA
    北部ソト語 (南アフリカ), 0x046C, nso-ZA
    オック語 (フランス), 0x0482, oc-FR
    パピアメント語 (カリブ), 0x0479, pap-029
    プロシア語 (世界), 0x1000, prg-001
    キチェ語 (グアテマラ), 0x1000, quc-GT
    ロマンシュ語 (スイス), 0x0417, rm-CH
    キニアルワンダ語 (ルワンダ), 0x0487, rw-RW
    シンド語 (アラビア文字、パキスタン), 0x0859, sd-Arab-PK
    北サーミ語 (ノルウェー), 0x043B, se-NO
    北サーミ語 (スウェーデン), 0x083B, se-SE
    シンハラ語 (スリランカ), 0x045B, si-LK
    南サーミ語 (ノルウェー), 0x183B, sma-NO
    南サーミ語 (スウェーデン), 0x1C3B, sma-SE
    ルレ・サーミ語 (ノルウェー), 0x103B, smj-NO
    ルレ・サーミ語 (スウェーデン), 0x143B, smj-SE
    スコルト・サーミ語 (フィンランド), 0x203B, sms-FI
    ショナ語 (ジンバブエ), 0x1000, sn-ZW
    スワジ語 (エスワティニ), 0x1000, ss-SZ
    スワジ語 (南アフリカ), 0x1000, ss-ZA
    サホ語 (エリトリア), 0x1000, ssy-ER
    南部ソト語 (レソト), 0x1000, st-LS
    南部ソト語 (南アフリカ), 0x0430, st-ZA
    スウェーデン語 (オーランド諸島), 0x1000, sv-AX
    スウェーデン語 (フィンランド), 0x081D, sv-FI
    スウェーデン語 (スウェーデン), 0x041D, sv-SE
    シリア語 (シリア), 0x045A, syr-SY
    テルグ語 (インド), 0x044A, te-IN
    ティグレ語 (エリトリア), 0x1000, tig-ER
    ツワナ語 (ボツワナ), 0x0832, tn-BW
    ツワナ語 (南アフリカ), 0x0432, tn-ZA
    ツォンガ語 (南アフリカ), 0x0431, ts-ZA
    中央アトラス・タマジクト語 (アラビア文字、モロッコ), 0x045F, tzm-Arab-MA
    中央アトラス・タマジクト語 (ティフナグ文字、モロッコ), 0x105F, tzm-Tfng-MA
    ウイグル語 (中国), 0x0480, ug-CN
    ウズベク語 (アラビア文字、アフガニスタン), 0x1000, uz-Arab-AF
    ベンダ語 (南アフリカ), 0x0433, ve-ZA
    ヴォラピュク語 (世界), 0x1000, vo-001
    ヴァリス語 (スイス), 0x1000, wae-CH
    ウォライタ語 (エチオピア), 0x1000, wal-ET
